XYDATA McStas simulated data for BEER at ESS on duplex sample
  ...
  ...
  ...
INTER   1.0   1.0   0  0
TEMP  300.0
   3662.568        1        1
   3664.440        1        1
   3666.312        1        1
   3668.184        1        1
   3670.056        1        1
   3671.928        1        1
   3673.800        1        1
   3675.672        1        1
   3677.544        1        1
   3679.416        1        1
   3681.288        3        3
   3683.160        4        3
   3685.032        4        4
   3686.904       12        7
   3688.776       37       12
   3690.648       27        9
   3692.520       19        7
   3694.392       39        9
   3696.264       49       11
   3698.136       43        9
   3700.008       26        7
   3701.880       13        7
   3703.752       11        5
   3705.624        9        5
   3707.496        2        2
   3709.368        1        1
   3711.240        1        1
   3713.112        1        1
   3714.984        1        1
   3716.856        1        1
   3718.728        1        1
   3720.600        1        1
   3722.472        1        1
   3724.344        1        1
   3726.216        1        1
   3728.088        1        1
   3729.960        1        1
   3731.832        1        1
   3733.704        1        1
   3735.576        1        1
   3737.448        1        1
   3739.320        1        1
   3741.192        1        1
   3743.064        1        1
   3744.936        1        1
   3746.808        1        1
   3748.680        1        1
   3750.552        1        1
   3752.424        1        1
   3754.296        1        1
   3756.168        1        1
   3758.040        1        1
   3759.912        1        1
   3761.784        1        1
   3763.656        1        1
   3765.528        1        1
   3767.400        1        1
   3769.272        1        1
   3771.144        1        1
   3773.016        1        1
   3774.888        1        1
   3776.760        1        1
   3778.632        1        1
   3780.504        1        1
   3782.376        1        1
   3784.248        1        1
   3786.120        1        1
   3787.992        1        1
   3789.864        1        1
   3791.736        1        1
   3793.608        1        1
   3795.480        1        1
   3797.352        1        1
   3799.224        1        1
   3801.096        1        1
   3802.968        1        1
   3804.840        1        1
   3806.712        1        1
   3808.584        1        1
   3810.456        1        1
   3812.328        1        1
   3814.200        1        1
   3816.072        1        1
   3817.944        1        1
   3819.816        1        1
   3821.688        1        1
   3823.560        1        1
   3825.432        1        1
   3827.304        1        1
   3829.176        1        1
   3831.048        1        1
   3832.920        1        1
   3834.792        1        1
   3836.664        1        1
   3838.536        1        1
   3840.408        1        1
   3842.280        1        1
   3844.152        1        1
   3846.024        1        1
   3847.896        1        1
   3849.768        3        3
   3851.640       35       14
   3853.512      122       29
   3855.384      114       28
   3857.256      185       37
   3859.128      130       30
   3861.000      151       30
   3862.872      151       30
   3864.744       78       21
   3866.616       48       14
   3868.488       46       17
   3870.360        7        8
   3872.232        8        7
   3874.104        1        1
   3875.976        1        1
   3877.848        1        1
   3879.720        8        8
   3881.592        1        1
   3883.464        1        1
   3885.336        1        1
   3887.208        1        1
